AD,AD1002-AW-,1,4,1002,1002-AW-,1002AW810,$10.23,$30.69 EA,0,1
AD,AD1002-AW-,1,4,1002,1002-AW-,1002AW11,$13.87,$41.61 EA,0,0
AD,AD1002-AW-,1,4,1002,1002-AW-,1002AW16,$19.99,$59.97 EA,0,3
AD,AD1002-BM-,1,4,1002,1002-BM-,1002BM810,$10.23,$30.69 EA,0,0
AD,AD1002-BM-,1,4,1002,1002-BM-,1002BM11,$13.87,$41.61 EA,0,0
AD,AD1002-BM-,1,4,1002,1002-BM-,1002BM16,$19.99,$59.97 EA,0,3
AD,AD1002-DG-,1,4,1002,1002-DG-,1002DG81,$10.23,$30.69 EA,0,4
AD,AD1002-DG-,1,4,1002,1002-DG-,1002DG11,$13.87,$41.61 EA,0,1
AD,AD1002-DG-,1,4,1002,1002-DG-,1002DG16,$19.99,$59.97 EA,0,1
AD,AD1002-SR-,1,4,1002,1002-SR-,1002SR81,$10.23,$30.69 EA,0,2
AD,AD1002-SR-,1,4,1002,1002-SR-,1002SR11,$13.87,$41.61 EA,0,3
AD,AD1002-SR-,1,4,1002,1002-SR-,1002SR16,$19.99,$59.97 EA,0,3
AD,AD1002-SS-,1,4,1002,1002-SS-,1002SS81,$10.23,$30.69 EA,0,0
AD,AD1002-SS-,1,4,1002,1002-SS-,1002SS11,$13.87,$41.61 EA,0,2
AD,AD1002-SS-,1,4,1002,1002-SS-,1002SS16,$19.99,$59.97 EA,0,0
AD,AD1002-YL-,1,4,1002,1002-YL-,1002YL81,$10.23,$30.69 EA,0,3
AD,AD1002-YL-,1,4,1002,1002-YL-,AD1002-,$13.87,$41.61,0,0
AD,AD1002-YL-,1,4,1002,1002-YL-,1002YL16,$19.99,$59.97 EA,0,4
AD,AD2900-BG-,1,4,2900,2900-BG-,AD2900-,$11.71,$35.13 EA,0,1
AD,AD2900-BS-,1,4,2900,2900-BS-,AD2900-,$11.71,$35.13 EA,0,3
AD,AD2900-NG-,1,4,2900,2900-NG-,AD2900-,$11.71,$35.13 EA,0,4
AD,AD2900-NS-,1,4,2900,2900-NS-,AD2900-,$11.71,$35.13 EA,0,2
